date,close,high,low,open,volume
2018-01-02,79.19831848144531,79.53003976131117,78.78367039665218,79.36417912137824,22483800
2018-01-03,79.56690979003906,79.71434461544845,79.2167626248109,79.29968944154412,26061400
2018-01-04,80.2672119140625,80.77401034362858,79.76962991869203,79.78805575700378,21912000
2018-01-05,81.26234436035156,81.46506365348633,80.56204326499785,80.77397898875059,23407100
2018-01-08,81.34529113769531,81.62172788355942,80.71870727313801,81.27157373478775,22113000
2018-01-09,81.2900161743164,81.75995588560016,80.95829485224307,81.6862384740107,19484300
2018-01-10,80.92144012451172,81.26237789731391,80.54365067418247,80.95829883211842,18652200
2018-01-11,81.16101837158203,81.20708648362299,80.3869995704494,81.20708648362299,17808900
2018-01-12,82.56161499023438,82.7274756615193,81.50194998091834,81.70466936027546,24271500
2018-01-16,81.4097900390625,83.65812156006267,81.09650162978387,83.02232127877825,36599700
2018-01-17,83.05918884277344,83.1881907933106,81.77837874095522,82.08245778011239,25621200
2018-01-18,83.0223159790039,83.5475401252088,82.61688435935241,82.74588628788851,24159700
2018-01-19,82.93016052246094,83.49224328396376,82.61687217936851,83.05916243197862,36875000
2018-01-22,84.4137191772461,84.42293561118677,82.69061159446089,82.93018966636369,23601600
2018-01-23,84.68095397949219,85.04953406917957,84.34923260178161,84.68095397949219,23412800
2018-01-24,84.60721588134766,86.09074528302325,84.38607069360533,85.2798749079156,33277500
2018-01-25,85.07715606689453,85.91566871673936,84.70857606506084,85.2061580130245,26383200
2018-01-26,86.67125701904297,86.67125701904297,85.3075201126209,85.80510207471944,29172200
2018-01-29,86.5422592163086,87.95207132810575,86.35797271636518,87.66642514416966,31569900
2018-01-30,85.4549560546875,86.3026922729121,84.86523079075367,85.97097093318936,38635100
2018-01-31,87.546630859375,87.90599441935026,86.16446115790748,86.38560634172026,48756300
2018-02-01,86.85555267333984,88.5233686581289,86.22896874605834,87.34391821385294,47227900
2018-02-02,84.57035827636719,86.58832835219185,84.31235438230499,86.28424932129904,47867800
2018-02-05,81.0872802734375,85.91565726675219,81.0872802734375,83.44618072267622,51031500
2018-02-06,84.15571594238281,84.29393433228431,78.55331917499957,80.06449096974278,67998600
2018-02-07,82.57083129882812,84.56115232113189,82.19303481422433,83.38170178494006,41107600
2018-02-08,78.33216857910156,82.819608514553,78.10180695514356,82.66296429748049,55628700
2018-02-09,81.2531509399414,81.94423580038656,77.24486015537526,79.5208340872539,63499100
2018-02-12,82.1285171508789,82.7274587318425,81.02278425531404,81.7691536083164,35720300
2018-02-13,82.7735366821289,82.93018089215079,80.90300150459629,81.9442334671917,26407700
2018-02-14,84.06961822509766,84.23625799322191,81.84776406757696,81.94034014695663,34960900
2018-02-15,85.7823257446289,85.83786999146425,83.89374365808764,84.43994758691144,27823900
2018-02-16,85.17129516601562,86.55995758720066,84.98614300176521,85.5878910671302,30596900
2018-02-20,85.8378677368164,86.15262787808722,84.25479317565834,84.68990859938256,30911700
2018-02-21,84.69915771484375,86.43035960858283,84.69915771484375,86.07856763077143,26922500
2018-02-22,84.92132568359375,85.84710048546695,84.57878646418423,85.21757333766914,24392800
2018-02-23,87.07840728759766,87.08766701665388,85.50459237701901,86.65255157135995,26329200
2018-02-26,88.33746337890625,88.3652355033917,87.25430814535028,87.39317583088143,30199800
2018-02-27,87.20801544189453,88.72628610782397,87.20801544189453,88.63371000636073,25869100
2018-02-28,86.8099136352539,88.60591929185762,86.68030570777758,87.80049254559566,31167300
2018-03-01,85.9582290649414,87.5505635975304,85.02319410092494,87.01361226666118,37135600
2018-03-02,86.14335632324219,86.23593239960408,84.1159070543379,84.78246610510654,32830400
2018-03-05,86.6895751953125,87.27281093462258,85.41200816787479,85.48606480398338,23901600
2018-03-06,86.39334869384766,87.4765040743814,86.04155663078936,87.33763637000672,22175800
2018-03-07,86.89324951171875,86.96731321321059,85.56939086574118,86.24520978142344,26716100
2018-03-08,87.42093658447266,88.04120416098215,86.80992167285224,87.27280918901208,25887800
2018-03-09,89.37432861328125,89.37432861328125,87.94863411790283,88.21710974330884,36937300
2018-03-12,89.58724975585938,89.99459304385022,88.91143791507805,89.33729359656704,26073700
