date,close,symbol
2020-06-04,78.32931518554688,AAPL
2020-06-05,80.56021881103516,AAPL
2020-06-08,81.03653717041016,AAPL
2020-06-09,83.59550476074219,AAPL
2020-06-10,85.74620819091797,AAPL
2020-06-11,81.6294937133789,AAPL
2020-06-12,82.33426666259766,AAPL
2020-06-15,83.35250091552734,AAPL
2020-06-16,85.56153106689453,AAPL
2020-06-17,85.44245147705078,AAPL
2020-06-18,85.47647094726562,AAPL
2020-06-19,84.98799896240234,AAPL
2020-06-22,87.21159362792969,AAPL
2020-06-23,89.0731201171875,AAPL
2020-06-24,87.50079345703125,AAPL
2020-06-25,88.66241455078125,AAPL
2020-06-26,85.93820190429688,AAPL
2020-06-29,87.91876983642578,AAPL
2020-06-30,88.65270233154297,AAPL
2020-07-01,88.48499298095703,AAPL
2020-07-02,88.48499298095703,AAPL
2020-07-06,90.85201263427734,AAPL
2020-07-07,90.5700912475586,AAPL
2020-07-08,92.6794891357422,AAPL
2020-07-09,93.07804107666016,AAPL
2020-07-10,93.24088287353516,AAPL
2020-07-13,92.81072235107422,AAPL
2020-07-14,94.34659576416016,AAPL
2020-07-15,94.99544525146484,AAPL
2020-07-16,93.8265380859375,AAPL
2020-07-17,93.63697814941406,AAPL
2020-07-20,95.61027526855467,AAPL
2020-07-21,94.29070281982422,AAPL
2020-07-22,94.55558013916016,AAPL
2020-07-23,90.25173950195312,AAPL
2020-07-24,90.0281753540039,AAPL
2020-07-27,92.16184997558594,AAPL
2020-07-28,90.64788818359376,AAPL
2020-07-29,92.3854522705078,AAPL
2020-07-30,93.50332641601562,AAPL
2020-07-31,103.29206085205078,AAPL
2020-08-03,105.89476776123048,AAPL
2020-08-04,106.6019515991211,AAPL
2020-08-05,106.98835754394533,AAPL
2020-08-06,110.72108459472656,AAPL
2020-08-07,108.20377349853516,AAPL
2020-08-10,109.77648162841795,AAPL
2020-08-11,106.51174926757812,AAPL
2020-08-12,110.0516128540039,AAPL
2020-08-13,111.99921417236328,AAPL
2020-08-14,111.8994140625,AAPL
2020-08-17,111.60726928710938,AAPL
2020-08-18,112.53729248046876,AAPL
2020-08-19,112.678466796875,AAPL
2020-08-20,115.17876434326172,AAPL
2020-08-21,121.11420440673828,AAPL
2020-08-24,122.5627670288086,AAPL
2020-08-25,121.55728149414062,AAPL
2020-08-26,123.2103500366211,AAPL
2020-08-27,121.7374496459961,AAPL
2020-08-28,121.54026794433594,AAPL
2020-08-31,125.66195678710938,AAPL
2020-09-01,130.66738891601562,AAPL
2020-09-02,127.96017456054688,AAPL
2020-09-03,117.71559143066406,AAPL
2020-09-04,117.7934799194336,AAPL
2020-09-08,109.86658477783205,AAPL
2020-09-09,114.2487564086914,AAPL
2020-09-10,110.5190200805664,AAPL
2020-09-11,109.06803131103516,AAPL
2020-09-14,112.3400650024414,AAPL
2020-09-15,112.51537322998048,AAPL
